"REGIÓN","OTROS TERRITORIOS","PAÍS","Localización","EXIGE VISA CORTA DURACIÓN","EXIGE VISA PARA PASAPORTE OFICIAL","EXIGE VISA PARA PASAPORTE DIPLOMATICO","CONDICIONES ESPECIALES","Identificador","FECHA"
"EUROPA OCCIDENTAL","NO","IRLANDA","(53.41291, -8.24389)","SI","SI","SI","(N/A)","91","01/10/2023"
"EUROPA SCHENGEN","NO","ISLANDIA","(64.963051, -19.020835)","NO","NO","NO","(N/A)","92","01/10/2023"
"ISLAS PACIFICO","NO","ISLAS MARSHALL","(7.131474, 171.184478)","SI","SI","SI","(N/A)","93","01/10/2023"
"ISLAS PACIFICO","NO","ISLAS SALOMÓN","(-9.64571, 160.156194)","SI","SI","SI","(N/A)","94","01/10/2023"
"ORIENTE MEDIO","NO","ISRAEL","(31.046051, 34.851612)","NO","NO","NO","(N/A)","95","01/10/2023"
"EUROPA SCHENGEN","NO","ITALIA","(41.87194, 12.56738)","NO","NO","NO","(N/A)","96","01/10/2023"
"AMERICA CARIBE","NO","JAMAICA","(18.109581, -77.297508)","NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 DÍAS","97","01/10/2023"
"ASIA DEL ESTE","NO","JAPÓN","(36.204824, 138.252924)","SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","98","01/10/2023"
"ASIA DEL SUR","NO","BANGLADESH",,"SI","SI","SI","(N/A)","17","12/07/2023"
"EUROPA SCHENGEN","NO","ESLOVAQUIA",,"NO","NO","NO","(N/A)","60","12/07/2023"
"ISLAS PACIFICO","NO","ISLAS SALOM�N",,"SI","SI","SI","(N/A)","94","12/07/2023"
"EUROPA SCHENGEN","NO","B�LGICA",,"NO","NO","NO","(N/A)","19","12/07/2023"
"AFRICA OCCIDENTAL","NO","GUINEA",,"SI","SI","SI","(N/A)","78","12/07/2023"
"AFRICA ORIENTAL","NO","DJIBOUTI",,"SI","SI","SI","(N/A)","53","12/07/2023"
"ASIA DEL SUR","NO","INDIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","87","12/07/2023"
"ASIA DEL ESTE","NO","FILIPINAS",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","67","12/07/2023"
"AMERICA CARIBE","SI","GUADALUPE (FRANCIA)",,"NO","NO","NO","(N/A)","76","12/07/2023"
"AFRICA OCCIDENTAL","NO","GHANA",,"SI","SI","SI","(N/A)","73","12/07/2023"
"EUROPA SCHENGEN","NO","ESLOVENIA",,"NO","NO","NO","(N/A)","61","12/07/2023"
"EURASIA","NO","ARMENIA",,"SI","SI","SI","(N/A)","10","12/07/2023"
"EUROPA SCHENGEN","NO","CHIPRE",,"NO","NO","NO","(N/A)","41","12/07/2023"
"AFRICA CENTRAL","NO","CONGO REP�BLICA DEMOCR�TICA",,"SI","SI","SI","(N/A)","44","12/07/2023"
"AFRICA DEL NORTE","NO","ARGELIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","8","12/07/2023"
"ISLAS PACIFICO","NO","ISLAS MARSHALL",,"SI","SI","SI","(N/A)","93","12/07/2023"
"EURASIA","NO","GEORGIA",,"NO","NO","NO","(N/A)","72","12/07/2023"
"AMERICA DEL NORTE","NO","ESTADOS UNIDOS DE AM�RICA",,"SI","SI","SI","(N/A)","63","12/07/2023"
"EUROPA SCHENGEN","NO","GRECIA",,"NO","NO","NO","(N/A)","74","12/07/2023"
"ORIENTE MEDIO","NO","IRAQ",,"SI","SI","SI","(N/A)","90","12/07/2023"
"AFRICA OCCIDENTAL","NO","CABO VERDE",,"SI","SI","SI","(N/A)","33","12/07/2023"
"EUROPA SCHENGEN","NO","DINAMARCA",,"NO","NO","NO","(N/A)","52","12/07/2023"
"AFRICA ORIENTAL","NO","ERITREA",,"SI","SI","SI","(N/A)","59","12/07/2023"
"AFRICA DEL SUR","NO","COMORAS",,"SI","SI","SI","(N/A)","42","12/07/2023"
"AMERICA DEL SUR","NO","CHILE",,"NO","NO","NO","(N/A)","39","12/07/2023"
"AFRICA CENTRAL","NO","BURUNDI",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VIISA SE TRAMITA A LA LLEGADA","31","12/07/2023"
"EUROPA SCHENGEN","NO","CHECA REP�BLICA",,"NO","NO","NO","(N/A)","38","12/07/2023"
"EURASIA","NO","BIELORRUSIA",,"SI","SI","SI","(N/A)","22","12/07/2023"
"EUROPA OCCIDENTAL","NO","IRLANDA",,"SI","SI","SI","(N/A)","91","12/07/2023"
"AMERICA CARIBE","SI","ARUBA (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","11","12/07/2023"
"AFRICA OCCIDENTAL","NO","GAMBIA",,"SI","SI","SI","(N/A)","71","12/07/2023"
"AFRICA CENTRAL","NO","GAB�N",,"SI","SI","SI","(N/A)","70","12/07/2023"
"AMERICA CARIBE","NO","HAIT�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","83","12/07/2023"
"AMERICA CARIBE","NO","DOMINICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 20 D�AS","54","12/07/2023"
"AMERICA DEL SUR","NO","BOLIVIA",,"NO","NO","NO","(N/A)","23","12/07/2023"
"EUROPA SCHENGEN","NO","FRANCIA",,"NO","NO","NO","(N/A)","69","12/07/2023"
"SUDESTE ASIATICO","NO","BRUNEI DARUSSALAM",,"SI","SI","SI","(N/A)","28","12/07/2023"
"AFRICA CENTRAL","NO","CAMER�N",,"SI","SI","SI","(N/A)","35","12/07/2023"
"OCEANIA","NO","FIJI",,"SI","SI","SI","(N/A)","66","12/07/2023"
"EUROPA SCHENGEN","NO","ALEMANIA",,"NO","NO","NO","(N/A)","3","12/07/2023"
"EUROPA SCHENGEN","NO","ESPA�A",,"NO","NO","NO","(N/A)","62","12/07/2023"
"AMERICA CARIBE","NO","GRENADA",,"SI","SI","SI","(N/A)","75","12/07/2023"
"AFRICA DEL SUR","NO","ANGOLA",,"SI","SI","SI","(N/A)","5","12/07/2023"
"SUDESTE ASIATICO","NO","INDONESIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","88","12/07/2023"
"EUROPA OCCIDENTAL","NO","ANDORRA",,"NO","NO","NO","(N/A)","4","12/07/2023"
"AMERICA CARIBE","SI","CURAZAO (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","51","12/07/2023"
"AMERICA CENTRAL","NO","HONDURAS",,"NO","NO","NO","(N/A)","84","12/07/2023"
"AMERICA CENTRAL","NO","GUATEMALA",,"NO","NO","NO","(N/A)","77","12/07/2023"
"AMERICA DEL SUR","NO","ARGENTINA",,"NO","NO","NO","(N/A)","9","12/07/2023"
"EURASIA","NO","AZERBAIY�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","VISA ELECTR�NICA","14","12/07/2023"
"ASIA CENTRAL","NO","AFGANIST�N",,"SI","SI","SI","(N/A)","1","12/07/2023"
"ASIA DEL ESTE","NO","COREA REP�BLICA",,"NO","NO","NO","(N/A)","45","12/07/2023"
"EUROPA SCHENGEN","NO","ISLANDIA",,"NO","NO","NO","(N/A)","92","12/07/2023"
"AMERICA CARIBE","SI","BONAIRE (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","24","12/07/2023"
"AMERICA DEL SUR","NO","BRASIL",,"NO","NO","NO","(N/A)","27","12/07/2023"
"EUROPA SCHENGEN","NO","FINLANDIA",,"NO","NO","NO","(N/A)","68","12/07/2023"
"AMERICA DEL SUR","SI","GUYANA FRANCESA",,"NO","NO","NO","(N/A)","82","12/07/2023"
"ASIA DEL ESTE","SI","HONG KONG (SARG-CHINA)",,"NO","NO","NO","NO EXIGE HASTA POR 90 D�AS","85","12/07/2023"
"EUROPA ORIENTAL","NO","ALBANIA",,"NO","SI","SI","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN  VIGENTE POR M�NIMO 6 MESES","2","12/07/2023"
"AMERICA DEL SUR","NO","ECUADOR",,"NO","NO","NO","(N/A)","55","12/07/2023"
"ASIA DEL ESTE","NO","COREA REP�BLICA POPULAR DEM.",,"SI","SI","SI","(N/A)","46","12/07/2023"
"AMERICA CARIBE","NO","ANTIGUA Y BARBUDA",,"SI","SI","SI","VISA A LA LLEGADA PARA TITULARES DE VISA DE EEUU- CANAD�- REINO UNIDO O SCHENGEN","6","12/07/2023"
"SUDESTE ASIATICO","NO","CAMBOYA",,"SI","SI","SI","VISA A LA LLEGADA","34","12/07/2023"
"EUROPA SCHENGEN","NO","BULGARIA",,"NO","NO","NO","(N/A)","29","12/07/2023"
"AMERICA CARIBE","NO","JAMAICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","97","12/07/2023"
"EUROPA SCHENGEN","NO","HUNGR�A",,"NO","NO","NO","(N/A)","86","12/07/2023"
"AMERICA CARIBE","NO","BAHAMAS",,"NO","NO","NO","(N/A)","15","12/07/2023"
"AFRICA OCCIDENTAL","NO","COSTA DE MARFIL",,"SI","SI","SI","(N/A)","47","12/07/2023"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU",,"SI","SI","SI","(N/A)","80","12/07/2023"
"ORIENTE MEDIO","NO","IR�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","89","12/07/2023"
"AMERICA CENTRAL","NO","COSTA RICA",,"SI- CONDICIONES ESPECIALES","NO","NO","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","48","12/07/2023"
"ORIENTE MEDIO","NO","ISRAEL",,"NO","NO","NO","(N/A)","95","12/07/2023"
"ASIA DEL ESTE","NO","CHINA REP�BLICA POPULAR",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","40","12/07/2023"
"AFRICA CENTRAL","NO","GUINEA ECUATORIAL",,"SI","SI","SI","(N/A)","79","12/07/2023"
"EUROPA SCHENGEN","NO","AUSTRIA",,"NO","NO","NO","(N/A)","13","12/07/2023"
"AFRICA DEL SUR","NO","BOTSUANA",,"SI","SI","SI","(N/A)","26","12/07/2023"
"AFRICA ORIENTAL","NO","ETIOP�A",,"SI","SI","SI","(N/A)","65","12/07/2023"
"AMERICA DEL SUR","NO","GUYANA",,"NO","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","81","12/07/2023"
"EUROPA ORIENTAL","NO","BOSNIA Y HERZEGOVINA",,"NO","NO","NO","(N/A)","25","12/07/2023"
"EUROPA SCHENGEN","NO","ESTONIA",,"NO","NO","NO","(N/A)","64","12/07/2023"
"EUROPA SCHENGEN","NO","ISLANDIA",,"NO","NO","NO","(N/A)","92","01/01/2024"
"EURASIA","NO","GEORGIA",,"NO","NO","NO","(N/A)","72","01/01/2024"
"AMERICA DEL SUR","NO","ARGENTINA",,"NO","NO","NO","(N/A)","9","01/01/2024"
"OCEANIA","NO","FIJI",,"SI","SI","SI","(N/A)","66","01/01/2024"
"AMERICA CARIBE","SI","ARUBA (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","11","01/01/2024"
"AFRICA ORIENTAL","NO","ERITREA",,"SI","SI","SI","(N/A)","59","01/01/2024"
"EUROPA SCHENGEN","NO","HUNGR�A",,"NO","NO","NO","(N/A)","86","01/01/2024"
"AFRICA OCCIDENTAL","NO","GAMBIA",,"SI","SI","SI","(N/A)","71","01/01/2024"
"AMERICA DEL SUR","NO","CHILE",,"NO","NO","NO","(N/A)","39","01/01/2024"
"EURASIA","NO","BIELORRUSIA",,"SI","SI","SI","(N/A)","22","01/01/2024"
"ORIENTE MEDIO","NO","EMIRATOS �RABES UNIDOS",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE PARA TRANSITO AEROPORTUARIO","58","01/01/2024"
"ASIA DEL ESTE","NO","CHINA REP�BLICA POPULAR",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","40","01/01/2024"
"EUROPA OCCIDENTAL","NO","IRLANDA",,"SI","SI","SI","(N/A)","91","01/01/2024"
"EUROPA SCHENGEN","NO","ESLOVAQUIA",,"NO","NO","NO","(N/A)","60","01/01/2024"
"AMERICA DEL SUR","NO","GUYANA",,"NO","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","81","01/01/2024"
"EUROPA SCHENGEN","NO","FRANCIA",,"NO","NO","NO","(N/A)","69","01/01/2024"
"EUROPA SCHENGEN","NO","ESPA�A",,"NO","NO","NO","(N/A)","62","01/01/2024"
"EUROPA SCHENGEN","NO","ESLOVENIA",,"NO","NO","NO","(N/A)","61","01/01/2024"
"EUROPA SCHENGEN","NO","CHIPRE",,"NO","NO","NO","(N/A)","41","01/01/2024"
"SUDESTE ASIATICO","NO","CAMBOYA",,"SI","SI","SI","VISA A LA LLEGADA","34","01/01/2024"
"EUROPA SCHENGEN","NO","GRECIA",,"NO","NO","NO","(N/A)","74","01/01/2024"
"EUROPA ORIENTAL","NO","BOSNIA Y HERZEGOVINA",,"NO","NO","NO","(N/A)","25","01/01/2024"
"EUROPA SCHENGEN","NO","BULGARIA",,"NO","NO","NO","(N/A)","29","01/01/2024"
"EUROPA SCHENGEN","NO","ALEMANIA",,"NO","NO","NO","(N/A)","3","01/01/2024"
"AFRICA DEL SUR","NO","BOTSUANA",,"SI","SI","SI","(N/A)","26","01/01/2024"
"AMERICA CENTRAL","NO","HONDURAS",,"NO","NO","NO","(N/A)","84","01/01/2024"
"EURASIA","NO","AZERBAIY�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","VISA ELECTR�NICA","14","01/01/2024"
"AMERICA CARIBE","NO","CUBA",,"NO (TARJETA TUR�STICA)","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","TARJETA TUR�STICA","50","01/01/2024"
"AFRICA CENTRAL","NO","GAB�N",,"SI","SI","SI","(N/A)","70","01/01/2024"
"EUROPA SCHENGEN","NO","ITALIA",,"NO","NO","NO","(N/A)","96","01/01/2024"
"AMERICA CARIBE","SI","CURAZAO (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","51","01/01/2024"
"AFRICA CENTRAL","NO","CONGO",,"SI","SI","SI","(N/A)","43","01/01/2024"
"SUDESTE ASIATICO","NO","INDONESIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","88","01/01/2024"
"ASIA DEL ESTE","NO","COREA REP�BLICA",,"NO","NO","NO","(N/A)","45","01/01/2024"
"EUROPA SCHENGEN","NO","CHECA REP�BLICA",,"NO","NO","NO","(N/A)","38","01/01/2024"
"AFRICA DEL SUR","NO","COMORAS",,"SI","SI","SI","(N/A)","42","01/01/2024"
"AFRICA OCCIDENTAL","NO","CABO VERDE",,"SI","SI","SI","(N/A)","33","01/01/2024"
"ORIENTE MEDIO","NO","BAHR�IN",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VISA SE TRAMITA A LA LLEGADA O VISA ELECTR�NICA","16","01/01/2024"
"AMERICA DEL NORTE","NO","ESTADOS UNIDOS DE AM�RICA",,"SI","SI","SI","(N/A)","63","01/01/2024"
"ORIENTE MEDIO","NO","ARABIA SAUDITA",,"SI","SI","SI","NO PERMITE TURISMO EN SU TERRITORIO","7","01/01/2024"
"AFRICA DEL NORTE","NO","ARGELIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","8","01/01/2024"
"ASIA DEL ESTE","NO","JAP�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","98","01/01/2024"
"AMERICA CARIBE","NO","JAMAICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","97","01/01/2024"
"ORIENTE MEDIO","NO","ISRAEL",,"NO","NO","NO","(N/A)","95","01/01/2024"
"EUROPA SCHENGEN","NO","B�LGICA",,"NO","NO","NO","(N/A)","19","01/01/2024"
"SUDESTE ASIATICO","NO","BRUNEI DARUSSALAM",,"SI","SI","SI","(N/A)","28","01/01/2024"
"AMERICA CARIBE","NO","BARBADOS",,"NO","NO","NO","(N/A)","18","01/01/2024"
"EUROPA SCHENGEN","NO","CROACIA",,"NO","NO","NO","(N/A)","49","01/01/2024"
"AFRICA CENTRAL","NO","CAMER�N",,"SI","SI","SI","(N/A)","35","01/01/2024"
"AMERICA CENTRAL","NO","EL SALVADOR",,"NO","NO","NO","(N/A)","57","01/01/2024"
"EUROPA SCHENGEN","NO","FINLANDIA",,"NO","NO","NO","(N/A)","68","01/01/2024"
"EUROPA SCHENGEN","NO","DINAMARCA",,"NO","NO","NO","(N/A)","52","01/01/2024"
"AMERICA CENTRAL","NO","COSTA RICA",,"SI- CONDICIONES ESPECIALES","NO","NO","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","48","01/01/2024"
"AMERICA CARIBE","NO","HAIT�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","83","01/01/2024"
"AFRICA CENTRAL","NO","CONGO REP�BLICA DEMOCR�TICA",,"SI","SI","SI","(N/A)","44","01/01/2024"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU",,"SI","SI","SI","(N/A)","80","01/01/2024"
"ORIENTE MEDIO","NO","IRAQ",,"SI","SI","SI","(N/A)","90","01/01/2024"
"AFRICA OCCIDENTAL","NO","BURKINA FASO",,"SI","SI","SI","(N/A)","30","01/01/2024"
"ORIENTE MEDIO","NO","IR�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","89","01/01/2024"
"ASIA DEL SUR","NO","INDIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","87","01/01/2024"
"AFRICA CENTRAL","NO","CHAD",,"SI","SI","SI","(N/A)","37","01/01/2024"
"OCEANIA","NO","AUSTRALIA",,"SI","SI","SI","(N/A)","12","01/01/2024"
"AMERICA CARIBE","NO","DOMINICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 20 D�AS","54","01/01/2024"
"AMERICA DEL SUR","NO","BOLIVIA",,"NO","NO","NO","(N/A)","23","01/01/2024"
"ASIA DEL ESTE","NO","COREA REP�BLICA POPULAR DEM.",,"SI","SI","SI","(N/A)","46","01/01/2024"
"AMERICA DEL SUR","NO","ECUADOR",,"NO","NO","NO","(N/A)","55","01/01/2024"
"AMERICA DEL SUR","SI","GUYANA FRANCESA",,"NO","NO","NO","(N/A)","82","01/01/2024"
"AMERICA CARIBE","SI","BONAIRE (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","24","01/01/2024"
"AFRICA CENTRAL","NO","GUINEA ECUATORIAL",,"SI","SI","SI","(N/A)","79","01/01/2024"
"AFRICA DEL NORTE","NO","EGIPTO",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","56","01/01/2024"
"AMERICA CARIBE","SI","GUADALUPE (FRANCIA)",,"NO","NO","NO","(N/A)","76","01/01/2024"
"AFRICA OCCIDENTAL","NO","BENIN",,"SI","SI","SI","(N/A)","21","01/01/2024"
"ASIA DEL ESTE","SI","HONG KONG (SARG-CHINA)",,"NO","NO","NO","NO EXIGE HASTA POR 90 D�AS","85","01/01/2024"
"AFRICA CENTRAL","NO","BURUNDI",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VIISA SE TRAMITA A LA LLEGADA","31","01/01/2024"
"AMERICA CARIBE","NO","GRENADA",,"SI","SI","SI","(N/A)","75","01/01/2024"
"AFRICA ORIENTAL","NO","ETIOP�A",,"SI","SI","SI","(N/A)","65","01/01/2024"
"ISLAS PACIFICO","NO","ISLAS SALOM�N",,"SI","SI","SI","(N/A)","94","01/01/2024"
"AMERICA CENTRAL","NO","GUATEMALA",,"NO","NO","NO","(N/A)","77","01/01/2024"
"ASIA DEL SUR","NO","BUT�N",,"SI","SI","SI","(N/A)","32","01/01/2024"
"EURASIA","NO","ARMENIA",,"SI","SI","SI","(N/A)","10","01/01/2024"
"ASIA CENTRAL","NO","AFGANIST�N",,"SI","SI","SI","(N/A)","1","01/01/2024"
"AMERICA CENTRAL","NO","BELICE",,"NO","NO","NO","(N/A)","20","01/01/2024"
"ASIA DEL ESTE","NO","FILIPINAS",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","67","01/01/2024"
"EUROPA SCHENGEN","NO","AUSTRIA",,"NO","NO","NO","(N/A)","13","01/01/2024"
"AFRICA OCCIDENTAL","NO","COSTA DE MARFIL",,"SI","SI","SI","(N/A)","47","01/01/2024"
"AFRICA OCCIDENTAL","NO","GUINEA",,"SI","SI","SI","(N/A)","78","01/01/2024"
"EUROPA ORIENTAL","NO","ALBANIA",,"NO","SI","SI","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN  VIGENTE POR M�NIMO 6 MESES","2","01/01/2024"
"AFRICA DEL SUR","NO","ANGOLA",,"SI","SI","SI","(N/A)","5","01/01/2024"
"ASIA DEL SUR","NO","BANGLADESH",,"SI","SI","SI","(N/A)","17","01/01/2024"
"EUROPA SCHENGEN","NO","ESTONIA",,"NO","NO","NO","(N/A)","64","01/01/2024"
"AMERICA DEL NORTE","NO","CANAD�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","(NO REGISTRA)","36","01/01/2024"
"AFRICA OCCIDENTAL","NO","GHANA",,"SI","SI","SI","(N/A)","73","01/01/2024"
"AMERICA DEL SUR","NO","BRASIL",,"NO","NO","NO","(N/A)","27","01/01/2024"
"AMERICA CARIBE","NO","BAHAMAS",,"NO","NO","NO","(N/A)","15","01/01/2024"
"AMERICA CARIBE","NO","ANTIGUA Y BARBUDA",,"SI","SI","SI","VISA A LA LLEGADA PARA TITULARES DE VISA DE EEUU- CANAD�- REINO UNIDO O SCHENGEN","6","01/01/2024"
"ISLAS PACIFICO","NO","ISLAS MARSHALL",,"SI","SI","SI","(N/A)","93","01/01/2024"
"EUROPA OCCIDENTAL","NO","ANDORRA",,"NO","NO","NO","(N/A)","4","01/01/2024"
"AFRICA ORIENTAL","NO","DJIBOUTI",,"SI","SI","SI","(N/A)","53","01/01/2024"
"AMERICA CARIBE","NO","BAHAMAS",,"NO","NO","NO","(N/A)","15","02/01/2024"
"AMERICA CARIBE","NO","DOMINICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 20 D�AS","54","02/01/2024"
"AFRICA DEL NORTE","NO","ARGELIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","8","02/01/2024"
"AFRICA CENTRAL","NO","CAMER�N",,"SI","SI","SI","(N/A)","35","02/01/2024"
"AFRICA OCCIDENTAL","NO","CABO VERDE",,"SI","SI","SI","(N/A)","33","02/01/2024"
"AFRICA CENTRAL","NO","GUINEA ECUATORIAL",,"SI","SI","SI","(N/A)","79","02/01/2024"
"EUROPA SCHENGEN","NO","ESPA�A",,"NO","NO","NO","(N/A)","62","02/01/2024"
"EUROPA SCHENGEN","NO","HUNGR�A",,"NO","NO","NO","(N/A)","86","02/01/2024"
"EUROPA SCHENGEN","NO","CHECA REP�BLICA",,"NO","NO","NO","(N/A)","38","02/01/2024"
"EUROPA SCHENGEN","NO","B�LGICA",,"NO","NO","NO","(N/A)","19","02/01/2024"
"AFRICA ORIENTAL","NO","ETIOP�A",,"SI","SI","SI","(N/A)","65","02/01/2024"
"AFRICA OCCIDENTAL","NO","GAMBIA",,"SI","SI","SI","(N/A)","71","02/01/2024"
"EURASIA","NO","ARMENIA",,"SI","SI","SI","(N/A)","10","02/01/2024"
"AMERICA CARIBE","SI","GUADALUPE (FRANCIA)",,"NO","NO","NO","(N/A)","76","02/01/2024"
"AMERICA CARIBE","NO","JAMAICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","97","02/01/2024"
"AMERICA DEL SUR","NO","CHILE",,"NO","NO","NO","(N/A)","39","02/01/2024"
"ASIA CENTRAL","NO","AFGANIST�N",,"SI","SI","SI","(N/A)","1","02/01/2024"
"AFRICA DEL SUR","NO","BOTSUANA",,"SI","SI","SI","(N/A)","26","02/01/2024"
"EUROPA SCHENGEN","NO","DINAMARCA",,"NO","NO","NO","(N/A)","52","02/01/2024"
"ASIA DEL SUR","NO","BUT�N",,"SI","SI","SI","(N/A)","32","02/01/2024"
"ORIENTE MEDIO","NO","ARABIA SAUDITA",,"SI","SI","SI","NO PERMITE TURISMO EN SU TERRITORIO","7","02/01/2024"
"AMERICA CARIBE","NO","BARBADOS",,"NO","NO","NO","(N/A)","18","02/01/2024"
"EUROPA SCHENGEN","NO","ITALIA",,"NO","NO","NO","(N/A)","96","02/01/2024"
"ORIENTE MEDIO","NO","ISRAEL",,"NO","NO","NO","(N/A)","95","02/01/2024"
"ASIA DEL ESTE","NO","COREA REP�BLICA",,"NO","NO","NO","(N/A)","45","02/01/2024"
"ORIENTE MEDIO","NO","IRAQ",,"SI","SI","SI","(N/A)","90","02/01/2024"
"AFRICA OCCIDENTAL","NO","COSTA DE MARFIL",,"SI","SI","SI","(N/A)","47","02/01/2024"
"AFRICA OCCIDENTAL","NO","GUINEA",,"SI","SI","SI","(N/A)","78","02/01/2024"
"AFRICA OCCIDENTAL","NO","BENIN",,"SI","SI","SI","(N/A)","21","02/01/2024"
"EUROPA SCHENGEN","NO","BULGARIA",,"NO","NO","NO","(N/A)","29","02/01/2024"
"AFRICA CENTRAL","NO","CHAD",,"SI","SI","SI","(N/A)","37","02/01/2024"
"AFRICA CENTRAL","NO","CONGO REP�BLICA DEMOCR�TICA",,"SI","SI","SI","(N/A)","44","02/01/2024"
"EUROPA SCHENGEN","NO","FRANCIA",,"NO","NO","NO","(N/A)","69","02/01/2024"
"EURASIA","NO","AZERBAIY�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","VISA ELECTR�NICA","14","02/01/2024"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU",,"SI","SI","SI","(N/A)","80","02/01/2024"
"ASIA DEL ESTE","NO","COREA REP�BLICA POPULAR DEM.",,"SI","SI","SI","(N/A)","46","02/01/2024"
"ASIA DEL ESTE","NO","JAP�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","98","02/01/2024"
"ASIA DEL SUR","NO","INDIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","87","02/01/2024"
"ISLAS PACIFICO","NO","ISLAS MARSHALL",,"SI","SI","SI","(N/A)","93","02/01/2024"
"ASIA DEL ESTE","NO","FILIPINAS",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","67","02/01/2024"
"AMERICA CENTRAL","NO","COSTA RICA",,"SI- CONDICIONES ESPECIALES","NO","NO","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","48","02/01/2024"
"EUROPA SCHENGEN","NO","CHIPRE",,"NO","NO","NO","(N/A)","41","02/01/2024"
